date,revenue,expenses,net_income,total_assets,total_debt,equity,current_assets,current_liabilities
2023-01-01,100000,75000,25000,500000,200000,300000,150000,80000
2023-02-01,110000,80000,30000,510000,195000,315000,160000,75000
2023-03-01,105000,78000,27000,515000,190000,325000,165000,70000
2023-04-01,115000,82000,33000,525000,185000,340000,170000,68000
2023-05-01,120000,85000,35000,535000,180000,355000,175000,65000
2023-06-01,125000,87000,38000,545000,175000,370000,180000,63000
2023-07-01,130000,89000,41000,555000,170000,385000,185000,60000
2023-08-01,135000,91000,44000,565000,165000,400000,190000,58000
2023-09-01,140000,93000,47000,575000,160000,415000,195000,55000
2023-10-01,145000,95000,50000,585000,155000,430000,200000,53000
2023-11-01,150000,97000,53000,595000,150000,445000,205000,50000
2023-12-01,155000,99000,56000,605000,145000,460000,210000,48000
